iter	Passed	Remaining
627	122502	54618
628	122698	54424
629	122919	54240
630	123077	54029
631	123268	53832
632	123477	53643
633	123678	53450
634	123871	53254
635	123922	52998
636	124091	52792
637	124276	52593
638	124454	52391
639	124631	52189
640	124784	51977
641	124991	51787
642	125272	51628
643	125523	51456
644	125765	51281
645	125978	51093
646	126160	50893
647	126342	50693
648	126516	50489
649	126685	50284
650	126898	50096
651	127117	49911
652	127325	49721
653	127554	49539
654	127763	49349
655	127975	49161
656	128175	48968
657	128367	48771
658	128545	48570
659	128749	48378
660	128949	48185
661	129152	47993
662	129358	47802
663	129536	47600
664	129601	47358
665	129818	47171
666	130026	46981
667	130236	46791
668	130439	46599
669	130646	46408
670	130857	46219
671	131051	46023
672	131253	45831
673	131437	45632
674	131631	45437
675	131836	45245
676	131936	45018
677	132119	44819
678	132328	44629
679	132560	44446
680	132768	44256
681	133028	44082
682	133098	43846
683	133316	43659
684	133571	43483
685	133832	43310
686	134021	43113
687	134234	42923
688	134430	42728
689	134606	42527
690	134805	42334
691	135026	42146
692	135246	41959
693	135473	41774
694	135698	41588
695	135922	41401
696	135984	41165
697	136154	40963
698	136358	40771
699	136533	40569
700	136727	40374
701	136926	40180
702	137253	40024
703	137589	39869
704	137879	39701
705	138130	39521
706	138385	39342
707	138647	39166
708	138900	38986
709	139272	38839
710	139551	38666
711	139810	38487
712	140046	38301
713	140280	38115
714	140546	37937
715	140805	37757
716	141199	37613
717	141579	37465
718	141866	37291
719	142111	37106
720	142348	36919
721	142574	36729
722	142816	36543
723	143143	36379
724	143382	36191
725	143624	36004
726	143854	35815
727	144103	35630
728	144351	35444
729	144567	35250
730	144823	35066
731	145048	34874
732	145288	34686
733	145531	34499
734	145763	34309
735	145979	34114
736	146199	33921
737	146419	33728
738	146500	33502
739	146719	33309
740	146957	33119
741	147209	32933
742	147405	32734
743	147629	32541
744	147868	32352
745	148111	32163
746	148369	31977
747	148609	31788
748	148829	31594
749	149260	31444
750	149966	31351
751	150356	31190
752	150705	31021
753	151062	30853
754	151427	30686
755	151717	30504
756	151961	30311
757	152227	30124
758	152497	29936
759	152754	29746
760	153079	29569
761	153545	29419
762	153870	29241
763	154295	29081
764	154761	28929
765	155231	28776
766	155844	28649
767	156188	28471
768	156705	28325
769	157619	28248
770	158014	28077
771	158384	27901
772	158705	27716
773	159011	27529
774	159296	27337
775	159622	27152
776	159935	26964
777	160171	26763
778	160608	26596
779	160926	26408
780	161250	26221
781	161558	26031
782	161867	25840
783	162207	25655
784	162473	25457
785	162764	25263
786	163037	25066
787	163345	24874
788	163628	24679
789	163864	24475
790	164113	24274
791	164395	24078
792	164665	23879
793	165032	23694
794	165415	23511
795	165835	23333
796	166148	23139
797	166576	22961
798	166896	22768
799	167306	22586
800	167683	22399
801	168103	22218
802	168826	22075
803	169184	21884
804	169513	21689
805	169846	21494
806	170116	21290
807	170405	21089
808	170669	20885
809	170819	20667
810	171067	20460
811	171351	20258
812	171607	20052
813	171849	19845
814	172102	19638
815	172340	19430
816	172566	19220
817	172833	19015
818	173196	18821
819	173587	18628
820	173710	18407
821	173977	18202
822	174244	17996
823	174492	17788
824	174788	17584
825	175050	17377
826	175329	17172
827	175685	16974
828	176016	16773
829	176325	16570
830	176632	16366
831	176911	16160
832	177226	15956
833	177522	15751
834	177852	15548
835	178122	15340
836	178388	15132
837	178693	14926
838	178962	14718
839	179292	14514
840	179612	14309
841	179923	14103
842	180287	13901
843	180712	13703
844	181134	13504
845	181534	13303
846	181866	13097
847	182114	12885
848	182357	12672
849	182597	12459
850	182874	12248
851	183145	12037
852	183378	11823
853	183630	11611
854	183941	11402
855	184217	11190
856	184491	10979
857	184758	10766
858	185053	10556
859	185279	10341
860	185549	10128
861	185855	9918
862	186173	9707
863	186476	9496
864	186800	9286
865	187126	9075
866	187253	8855
867	187534	8642
868	187810	8428
869	188146	8217
870	188480	8006
871	188792	7794
872	189277	7588
873	189837	7384
874	190145	7171
875	190451	6957
876	190717	6741
877	191150	6531
878	191444	6316
879	191724	6100
880	192057	5885
881	192312	5669
882	192566	5452
883	193001	5239
884	193278	5023
885	193575	4806
886	193676	4585
887	193965	4368
888	194243	4151
889	194518	3934
890	194790	3716
891	195065	3498
892	195345	3281
893	195624	3063
894	196030	2847
895	196388	2630
896	196752	2412
897	197571	2200
898	198013	1982
899	198340	1763
900	198770	1544
901	199116	1324
902	199574	1105
903	200009	884
904	200356	664
905	200642	442
906	200899	221
907	201338	0
